,0,1,2,3,4,5,6
299,vila_mariana,https://apartamento.mercadolivre.com.br/MLB-1901884642-apartamento-construtora-vila-mariana-ref-16377-v-re17335-_JM#position=12&search_layout=grid&type=item&tracking_id=908f17d4-6e66-4bce-82ed-8ad11aa05491,837.000,Apartamento Construtora - Vila Mariana - Ref: 16377 - V-re17335,"Potenji, Vila Mariana, São Paulo Zona Sul, São Paulo",71 m² construídos,2 quartos
300,vila_mariana,https://apartamento.mercadolivre.com.br/MLB-1901884554-apartamento-construtora-vila-mariana-ref-16373-v-re17331-_JM#position=13&search_layout=grid&type=item&tracking_id=908f17d4-6e66-4bce-82ed-8ad11aa05491,2.035.000,Apartamento Construtora - Vila Mariana - Ref: 16373 - V-re17331,"Conde De Irajá, Vila Mariana, São Paulo Zona Sul, São Paulo",155 m² construídos,4 quartos
301,vila_mariana,https://apartamento.mercadolivre.com.br/MLB-1901862564-3-dormitorios-sendo-2-suites-3-vagas-vila-mariana-cf63025-_JM#position=14&search_layout=grid&type=item&tracking_id=908f17d4-6e66-4bce-82ed-8ad11aa05491,1.600.000,3 Dormitórios (sendo 2 Suítes) - 3 Vagas - Vila Mariana - Cf63025,"R Doutor Nicolau De Sousa Queirós, Vila Mariana, São Paulo Zona Sul, São Paulo",220 m² construídos,3 quartos
302,vila_mariana,https://apartamento.mercadolivre.com.br/MLB-1901858239-3-dormitorios-sendo-3-suites-2-vagas-vila-mariana-cf63283-_JM#position=15&search_layout=grid&type=item&tracking_id=908f17d4-6e66-4bce-82ed-8ad11aa05491,1.400.000,3 Dormitórios (sendo 3 Suítes) - 2 Vagas - Vila Mariana - Cf63283,"R Embuaçu, Vila Mariana, São Paulo Zona Sul, São Paulo",131 m² construídos,3 quartos
303,vila_mariana,https://apartamento.mercadolivre.com.br/MLB-1901858186-1-dormitorio-sendo-1-suite-2-vagas-vila-mariana-cf58338-_JM#position=16&search_layout=grid&type=item&tracking_id=908f17d4-6e66-4bce-82ed-8ad11aa05491,890.000,1 Dormitório (sendo 1 Suíte) - 2 Vagas - Vila Mariana - Cf58338,"R João Álvares Correia, Jardim Vila Mariana, São Paulo Zona Sul, São Paulo",65 m² construídos,1 quarto
304,vila_mariana,https://apartamento.mercadolivre.com.br/MLB-1901852521-apartamento-com-3-dormitorios-venda-145-m-por-r-2250000-vila-mariana-so-paulosp-ap2899-_JM#position=17&search_layout=grid&type=item&tracking_id=908f17d4-6e66-4bce-82ed-8ad11aa05491,2.250.000,"Apartamento Com 3 Dormitórios À Venda, 145 M² Por R$ 2.250.000 - Vila Mariana - São Paulo/sp - Ap2899","Rua Doutor Neto De Araújo, Vila Mariana, São Paulo Zona Sul, São Paulo",145 m² construídos,3 quartos
305,vila_mariana,https://apartamento.mercadolivre.com.br/MLB-1901835557-apartamento-saude-sp-643396-_JM#position=18&search_layout=grid&type=item&tracking_id=908f17d4-6e66-4bce-82ed-8ad11aa05491,780.000,Apartamento - Saúde  - Sp - 643396,"R Potenji, Vila Mariana, São Paulo Zona Sul, São Paulo",72 m² construídos,2 quartos
306,vila_mariana,https://apartamento.mercadolivre.com.br/MLB-1901324637-apartamento-em-vila-mariana-so-paulo-sp-299640-_JM#position=19&search_layout=grid&type=item&tracking_id=908f17d4-6e66-4bce-82ed-8ad11aa05491,1.015.000,"Apartamento Em Vila Mariana - São Paulo, Sp - 299640","Avenida Doutor Altino Arantes, 1300, Vila Clementino, São Paulo Zona Sul, São Paulo",135 m² construídos,4 quartos
307,vila_mariana,https://apartamento.mercadolivre.com.br/MLB-1900948388-apartamento-em-chacara-klabin-so-paulo-sp-335392-_JM#position=20&search_layout=grid&type=item&tracking_id=908f17d4-6e66-4bce-82ed-8ad11aa05491,3.661.159,"Apartamento Em Chácara Klabin - São Paulo, Sp - 335392","Rua Deputado Joaquim Libanio, 91, Vila Mariana, São Paulo Zona Sul, São Paulo",198 m² construídos,4 quartos
308,vila_mariana,https://apartamento.mercadolivre.com.br/MLB-1900923183-apartamento-vila-mariana-ref-5908-v-5908-_JM#position=21&search_layout=grid&type=item&tracking_id=908f17d4-6e66-4bce-82ed-8ad11aa05491,770.000,Apartamento - Vila Mariana - Ref: 5908 - V-5908,"Franca Pinto, Vila Mariana, São Paulo Zona Sul, São Paulo",103 m² construídos,2 quartos
